tranx_date,tranx_date,symbol,open,close,low,high,vol,vwap,trade_count
2018-03-15 00:00:00-04:00,2018-03-15 00:00:00-04:00,GLP,16.75,16.95,16.3,17.25,177130.0,16.753093,1678.0
2018-03-16 00:00:00-04:00,2018-03-16 00:00:00-04:00,GLP,16.65,17.5,16.65,17.7,969629.0,17.462284,1776.0
2018-03-19 00:00:00-04:00,2018-03-19 00:00:00-04:00,GLP,17.4,16.5,16.35,17.45,96583.0,16.649743,555.0
2018-03-20 00:00:00-04:00,2018-03-20 00:00:00-04:00,GLP,16.55,16.25,16.0,16.6749,101730.0,16.165732,631.0
2018-03-21 00:00:00-04:00,2018-03-21 00:00:00-04:00,GLP,16.2,16.05,16.0,16.4,138233.0,16.128314,774.0
2018-03-22 00:00:00-04:00,2018-03-22 00:00:00-04:00,GLP,16.05,15.8,15.8,16.2,82654.0,15.974111,463.0
2018-03-23 00:00:00-04:00,2018-03-23 00:00:00-04:00,GLP,15.75,15.75,15.35,15.9784,99908.0,15.732916,540.0
2018-03-26 00:00:00-04:00,2018-03-26 00:00:00-04:00,GLP,15.9,15.7,15.4,15.9,51960.0,15.567024,344.0
2018-03-27 00:00:00-04:00,2018-03-27 00:00:00-04:00,GLP,15.6,15.45,15.4,16.0,70518.0,15.691681,447.0
2018-03-28 00:00:00-04:00,2018-03-28 00:00:00-04:00,GLP,15.4,15.35,15.21,15.5182,38226.0,15.378556,201.0
2018-03-29 00:00:00-04:00,2018-03-29 00:00:00-04:00,GLP,15.35,15.35,15.2,15.9,106067.0,15.397273,712.0
2018-04-02 00:00:00-04:00,2018-04-02 00:00:00-04:00,GLP,15.4,15.55,15.165,15.55,44068.0,15.419187,339.0
2018-04-03 00:00:00-04:00,2018-04-03 00:00:00-04:00,GLP,15.55,15.55,15.2,15.6,32705.0,15.43926,188.0
2018-04-04 00:00:00-04:00,2018-04-04 00:00:00-04:00,GLP,15.251,15.7,15.251,15.7,35406.0,15.570742,227.0
2018-04-05 00:00:00-04:00,2018-04-05 00:00:00-04:00,GLP,15.75,15.65,15.45,15.8247,31738.0,15.635142,261.0
2018-04-06 00:00:00-04:00,2018-04-06 00:00:00-04:00,GLP,15.7,15.55,15.4,15.75,44301.0,15.532533,382.0
2018-04-09 00:00:00-04:00,2018-04-09 00:00:00-04:00,GLP,15.55,15.3,15.3,15.65,25363.0,15.448517,198.0
2018-04-10 00:00:00-04:00,2018-04-10 00:00:00-04:00,GLP,15.4,16.05,15.32,16.05,72079.0,15.813583,454.0
2018-04-11 00:00:00-04:00,2018-04-11 00:00:00-04:00,GLP,15.95,16.15,15.9,16.2,37299.0,16.050286,171.0
2018-04-12 00:00:00-04:00,2018-04-12 00:00:00-04:00,GLP,16.0,16.0,15.8,16.1152,25740.0,15.970566,181.0
2018-04-13 00:00:00-04:00,2018-04-13 00:00:00-04:00,GLP,15.85,15.95,15.7,16.05,37005.0,15.90124,257.0
2018-04-16 00:00:00-04:00,2018-04-16 00:00:00-04:00,GLP,16.05,16.55,15.8,16.6,71337.0,16.413181,448.0
2018-04-17 00:00:00-04:00,2018-04-17 00:00:00-04:00,GLP,16.55,16.95,16.345,17.25,84042.0,16.874633,466.0
2018-04-18 00:00:00-04:00,2018-04-18 00:00:00-04:00,GLP,17.1,16.95,16.85,17.1,10405.0,16.94886,145.0
2018-04-19 00:00:00-04:00,2018-04-19 00:00:00-04:00,GLP,17.05,16.9,16.8,17.2,41898.0,16.941559,295.0
